description,sel_qty,title,url,price,outofstock,img_urls,oldprice
"Frozen Chicken Griller<br/>
<span style=""color: grey;"">12pkts X 800G</span>",0,Frozen Chicken Griller 12X800G,https://allforyou.sg/cartons-deals-3,$35.40,False,https://a4ucontent.blob.core.windows.net/images/0051156_0.png,$45.00
"Frozen Chicken Thigh<br/>
<span style=""color: grey;"">2kg X 6pkts</span>",0,Frozen Chicken Thigh 2X6KPT,https://allforyou.sg/cartons-deals-3,$44.40,False,https://a4ucontent.blob.core.windows.net/images/0051149_0.png,$54.00
"Frozen Chicken Breast<br/>
<span style=""color: grey;"">16pkts X 1KG
</span>",0,Frozen Chicken Breast 16X1KG,https://allforyou.sg/cartons-deals-3,$92.80,True,https://a4ucontent.blob.core.windows.net/images/0051152_0.png,$96.00
"Frozen Chicken Midjoint Wing<br/>
<span style=""color: grey;"">16pkts X 1KG</span>",0,Frozen Chicken Midjoint Wing 16X1KG,https://allforyou.sg/cartons-deals-3,$100.00,False,https://a4ucontent.blob.core.windows.net/images/0051155_0.png,$112.00
"K-Y Jelly Lubricant <br/>
<span style=""color: grey;"">100G</span>",0,K-Y Jelly Lubricant 100G,https://allforyou.sg/family-planning,$6.25,False,https://a4ucontent.blob.core.windows.net/images/0051690_0.png,
"Frozen Chicken Wing Stick<br/>
<span style=""color: grey;"">16 pkts X 1KG</span>",0,Frozen Chicken Wing Stick 16X1KG,https://allforyou.sg/cartons-deals-3,$69.90,False,https://a4ucontent.blob.core.windows.net/images/0051154_0.png,$73.00
"Frozen Chicken Wing<br/>
<span style=""color: grey;"">6pkts X 2KG</span>",0,Frozen Chicken Wing 6X2KG,https://allforyou.sg/cartons-deals-3,$57.60,False,https://a4ucontent.blob.core.windows.net/images/0051157_0.png,$66.00
"Frozen Chicken Drumstick (Layer Pack)<br/>
<span style=""color: grey;"">15KG</span>",0,Frozen Chicken Drumstick 15KG Layer Pack,https://allforyou.sg/cartons-deals-3,$33.00,False,https://a4ucontent.blob.core.windows.net/images/0051153_0.png,$50.00
Durex Love 3S,0,Durex Love 3S,https://allforyou.sg/family-planning,$4.90,False,https://a4ucontent.blob.core.windows.net/images/0043610_0.png,
Durex Together 3S,0,Durex Together 3S,https://allforyou.sg/family-planning,$4.90,False,https://a4ucontent.blob.core.windows.net/images/0043605_0.png,
Durex Comfort 3S,0,Durex Comfort 3S,https://allforyou.sg/family-planning,$5.90,False,https://a4ucontent.blob.core.windows.net/images/0043607_0.png,
"Product of Vietnam <br/> 
Well Trimmed Pangasius Fillet<br/>
<span style=""color: grey;"">6KG</span>",0,Well Trimmed Pangasius Fillet 6KG,https://allforyou.sg/cartons-deals-3,$22.00,False,https://a4ucontent.blob.core.windows.net/images/0051795_0.png,$26.80
"Product of Vietnam <br/>
Untrimmed Dolly Fillet<br/>
Average 170-220G per Dolly Slice<br/>
<span style=""color: grey;"">6KG</span>
",0,Untrimmed Fillet 170-220G 6KG,https://allforyou.sg/cartons-deals-3,$16.50,False,https://a4ucontent.blob.core.windows.net/images/0050908_0.png,$18.80
"Frozen Chicken Fillet<br/>  
<span style=""color: grey;"">16 packets x 1kg </span>
",0,Frozen Chicken Fillet 16X1KG,https://allforyou.sg/cartons-deals-3,$92.80,False,https://a4ucontent.blob.core.windows.net/images/0050909_0.png,$96.00
Durex Performa 12S,0,Durex Performa 12S,https://allforyou.sg/family-planning,$18.90,False,https://a4ucontent.blob.core.windows.net/images/0043618_0.png,
Durex Extra Safe 3S,0,Durex Extra Safe 3S,https://allforyou.sg/family-planning,$6.00,False,https://a4ucontent.blob.core.windows.net/images/0043609_0.png,
Durex Close Fit 3S,0,Durex Close Fit 3S,https://allforyou.sg/family-planning,$4.95,False,https://a4ucontent.blob.core.windows.net/images/0043603_0.png,
"Tasty Bites<br/>
Smoked Duck Breast (Black Pepper)<br/>
<span style=""color: grey;"">500G X 20pkt
</span> ",0,T/Bites Smoked Duck Breast Bp 500GX20PKT,https://allforyou.sg/cartons-deals-3,$99.00,False,https://a4ucontent.blob.core.windows.net/images/0051416_0.png,$136.00
"Tasty Bites<br/>
Crispy Chicken Nugget<br/>
<span style=""color: grey;"">1KG X 10pkts</span>",0,T/Bites Crispy Ckn Nugget 1KGX10PKT,https://allforyou.sg/cartons-deals-3,$62.50,False,https://a4ucontent.blob.core.windows.net/images/0051161_0.png,$69.00
"Tasty Bites<br/>
Roti Prata Plain<br/>
<span style=""color: grey;"">1950G X 6pkt</span>",0,T/Bites Roti Prata Plain 1950GX6PKT,https://allforyou.sg/cartons-deals-3,$38.80,False,https://a4ucontent.blob.core.windows.net/images/0051415_0.png,$41.70
Durex Fetherlite 3S,0,Durex Fetherlitef 3S,https://allforyou.sg/family-planning,$5.40,False,https://a4ucontent.blob.core.windows.net/images/0043604_0.png,
Durex Fetherlite 12S,0,Durex Fetherlite 12S,https://allforyou.sg/family-planning,$15.90,False,https://a4ucontent.blob.core.windows.net/images/0043613_0.png,
,0,Durex Fetherlite Ultima 3S,https://allforyou.sg/family-planning,$6.20,False,https://a4ucontent.blob.core.windows.net/images/0021520_0.png,
"Tasty Bites<br/>
Crispy Chicken<br/>
<span style=""color: grey;"">12 pkts X 1KG</span>",0,Crispy Chicken 12X1KG,https://allforyou.sg/cartons-deals-3,$93.00,False,https://a4ucontent.blob.core.windows.net/images/0051162_0.png,$100.00
"Crispy Chicken With Seaweed<br/>
<span style=""color: grey;"">12pkts X 1KG</span>",0,Crispy Chicken W/Seaweed 12X1KG,https://allforyou.sg/cartons-deals-3,$108.00,False,https://a4ucontent.blob.core.windows.net/images/0051160_0.png,$115.00
"Tasty Bites Crispy Popcorn Chicken<br/>
<span style=""color: grey;"">1KG X 10pkts</span>",0,T/Bites Crispy Popcorn Ckn 1KGX10PKT,https://allforyou.sg/cartons-deals-3,$106.00,False,https://a4ucontent.blob.core.windows.net/images/0051148_0.png,$115.00
Durex Fetherlite Ultima 12S,0,Durex Fetherlite Ultima 12S,https://allforyou.sg/family-planning,$17.90,False,https://a4ucontent.blob.core.windows.net/images/0043619_0.png,
,0,Durex Fetherlite Elite 12S,https://allforyou.sg/family-planning,$17.90,False,https://a4ucontent.blob.core.windows.net/images/0043611_0.png,
"French Fries Shoestring<br/>
<span style=""color: grey;"">10pkts X 1KG</span>",0,French Fries Shoestring 10X1KG,https://allforyou.sg/cartons-deals-3,$19.00,False,https://a4ucontent.blob.core.windows.net/images/0051146_0.png,$30.00
"French Fries Crinkle Cut<br/>
<span style=""color: grey;"">10pkts X 1KG
</span>",0,French Fries Crinkle Cut 10X1KG,https://allforyou.sg/cartons-deals-3,$19.00,False,https://a4ucontent.blob.core.windows.net/images/0051145_0.png,$30.00
Produce of China,0,CHN Fuji Apple(CTN)100s,https://allforyou.sg/cartons-deals-3,$59.80,False,https://a4ucontent.blob.core.windows.net/images/0050829_0.png,
Produce of South Africa,0,S.A Valencia Orange(CTN)72s,https://allforyou.sg/cartons-deals-3,$27.25,False,https://a4ucontent.blob.core.windows.net/images/0050830_0.png,
Produce of Vietnam,0,VNM Dragon Fruit(CTN)24s/26s,https://allforyou.sg/cartons-deals-3,$16.50,False,https://a4ucontent.blob.core.windows.net/images/0050839_0.png,
"Red Bull<br/>
<span style=""color: grey;"">24S X 250ML</span>",0,Red Bull 24X250ML,https://allforyou.sg/cartons-deals-3,$14.90,False,https://a4ucontent.blob.core.windows.net/images/0051491_0.png,
"Coke<br/>
<span style=""color: grey;"">12S X 330ML</span>",0,Coke 12X330ML,https://allforyou.sg/cartons-deals-3,$9.10,False,https://a4ucontent.blob.core.windows.net/images/0051494_0.png,
"Coke<br/>
<span style=""color: grey;"">24S X 330ML</span>
 ",0,Coke 24X330ML,https://allforyou.sg/cartons-deals-3,$14.00,False,https://a4ucontent.blob.core.windows.net/images/0051420_0.png,$14.40
"Marigold Chocolate Milk<br/>
<span style=""color: grey;"">12S X 1L </span>",0,Marigold UHT Choco Milk 12X1L,https://allforyou.sg/cartons-deals-3,$19.50,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,$25.10
"Marigold Chocolate Milk<br/>
<span style=""color: grey;"">24pkts X 250ML</span>",0,Marigold UHT Choco Milk 4X6X250ML,https://allforyou.sg/cartons-deals-3,$15.00,False,https://a4ucontent.blob.core.windows.net/images/0051618_0.png,$16.05
"Marigold Full Cream Milk<br/>
<span style=""color: grey;"">12S X 1L</span>",0,Marigold UHT Full Cream 12X1L,https://allforyou.sg/cartons-deals-3,$19.50,False,https://a4ucontent.blob.core.windows.net/images/0051614_0.png,$22.70
"Marigold Full Cream Milk<br/>
<span style=""color: grey;"">24pkts X 250ML</span>
",0,Marigold UHT Full Cream 4X6X250ML,https://allforyou.sg/cartons-deals-3,$15.00,False,https://a4ucontent.blob.core.windows.net/images/0051616_0.png,$15.15
"Marigold Low Fat Milk<br/>
<span style=""color: grey;"">24pkts X 250ML</span>",0,Marigold UHT L/Fat Milk 4X6X250ML,https://allforyou.sg/cartons-deals-3,$15.00,False,https://a4ucontent.blob.core.windows.net/images/0051617_0.png,$15.15
"Marigold Low Fat Milk<br/>
<span style=""color: grey;"">12S X 1L</span>",0,Marigold UHT Low Fat Milk 12X1L,https://allforyou.sg/cartons-deals-3,$19.50,False,https://a4ucontent.blob.core.windows.net/images/0051611_0.png,$25.10
"Marigold Strawberry Milk<br/>
<span style=""color: grey;"">12S X 1L</span>",0,Marigold UHT Strawberry Milk 12X1L,https://allforyou.sg/cartons-deals-3,$19.50,False,https://a4ucontent.blob.core.windows.net/images/0051615_0.png,$22.70
"Marigold Strawberry Milk<br/>
<span style=""color: grey;"">24pkts X 250ML</span>",0,Marigold UHT Strawberry Milk 4X6X250ML,https://allforyou.sg/cartons-deals-3,$15.00,False,https://a4ucontent.blob.core.windows.net/images/0051619_0.png,$15.15
"Pokka Green Tea<br/>
<span style=""color: grey;"">24S X 300ML</span>",0,Pokka Green Tea 24X300ML,https://allforyou.sg/cartons-deals-3,$11.00,False,https://a4ucontent.blob.core.windows.net/images/0051621_0.png,
"Seasons Ice Lemon Tea<br/>
<span style=""color: grey;"">24S X 300ML</span>",0,Seasons Ice Lemon Tea 24X300ML,https://allforyou.sg/cartons-deals-3,$12.60,True,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,
"YEO'S Coconut Juice<br/>
<span style=""color: grey;"">24S X 300ML</span>",0,YEO'S Coconut Juice 24X300ML,https://allforyou.sg/cartons-deals-3,$16.20,False,https://a4ucontent.blob.core.windows.net/images/0051620_0.png,
"YEO'S Green Tea<br/>
<span style=""color: grey;"">24S X 300ML</span>
",0,YEO'S Green Tea 24X300ML,https://allforyou.sg/cartons-deals-3,$11.50,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,$16.10
"Jia Jia Liang Teh Original<br/>
<span style=""color: grey;"">24S X 300ML</span>",0,JJ Liangteh Original 24X300ML,https://allforyou.sg/cartons-deals-3,$13.80,False,https://a4ucontent.blob.core.windows.net/images/0051622_0.png,
"Emmi <br/>
Greek Yoghurt Natural <br/>
No Fat <br/>
<span style =""color:grey""> 150g </span>",0,Emmi Greek Yoghurt Natural NF 0% 150G,https://allforyou.sg/yoghurt-2,$2.15,False,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,$2.65
"Laoshan Oldenlandia Water<br/>
<span style=""color: grey;"">24S X 355ML</span>",0,Laoshan Oldenlandia 24X355ML,https://allforyou.sg/cartons-deals-3,$14.70,False,https://a4ucontent.blob.core.windows.net/images/0051623_0.png,
"HSC Oldenlandia Water<br/>
<span style=""color: grey;"">24S X 325ML</span> ",0,Hsc Oldenlandia Water 24X325ML,https://allforyou.sg/cartons-deals-3,$15.20,False,https://a4ucontent.blob.core.windows.net/images/0051624_0.png,
"Coke Light<br/>
<span style=""color: grey;"">24 x 330 ml</span>",0,Coke Light 24X330ML,https://allforyou.sg/cartons-deals-3,$14.70,False,https://a4ucontent.blob.core.windows.net/images/0051625_0.png,
"Emmi<br/>
Swiss Yoghurt 2% Fat Blueberry <br/>
<span style =""color:grey;""> 150G </span>",0,Emmi Swiss Yog 2%FAT Blueberry 150G,https://allforyou.sg/yoghurt-2,$2.15,False,https://a4ucontent.blob.core.windows.net/images/0048167_0.png,$2.65
"Emmi <br/>
Swiss Yoghurt 2% Fat Mango <br/>
<span style =""color:grey;""> 150G </span>",0,Emmi Swiss Yog 2%FAT Mango 150G,https://allforyou.sg/yoghurt-2,$2.15,False,https://a4ucontent.blob.core.windows.net/images/0048168_0.png,$2.65
"Emmi<br/>
Swiss Yoghurt 2% Fat Raspberry <br/>
<span style =""color:grey;""> 150G </span>",0,Emmi Swiss Yog 2%FAT Raspberry 150G,https://allforyou.sg/yoghurt-2,$2.15,False,https://a4ucontent.blob.core.windows.net/images/0048169_0.png,$2.65
"Emmi <br/>
Blueberry Yoghurt <br/>
<span style= ""color: gray""> 100G </span>",0,Emmi Yoghurt Blueberry 100G,https://allforyou.sg/yoghurt-2,$1.10,True,https://a4ucontent.blob.core.windows.net/images/0048254_0.png,
"Emmi <br/>
Strawberry Yoghurt <br/>
<span style= ""color: gray"">100G</span>",0,Emmi Yoghurt Straw 100G,https://allforyou.sg/yoghurt-2,$1.10,True,https://a4ucontent.blob.core.windows.net/images/0048253_0.png,
"Emmi <br/>
Plain Yoghurt <br/>
<span style= ""color: gray""> 100G </span>",0,Emmi Yoghurt Plain 100G,https://allforyou.sg/yoghurt-2,$1.10,False,https://a4ucontent.blob.core.windows.net/images/0048252_0.png,
"Alive Yoghurt <br/>
Aloe Vera & Nata de Coco <br/>
<span style= ""color: gray"">2X135G</span>",0,Alive Yoghurt Aloe Vera&Ndcc 2X135G,https://allforyou.sg/yoghurt-2,$1.90,False,https://a4ucontent.blob.core.windows.net/images/0048132_0.png,$2.50
"Alive Yoghurt <br/>
Strawberry <br/>
<span style= ""color: gray"">2X135G</span>",0,Alive Yoghurt Strawberry 2X135G,https://allforyou.sg/yoghurt-2,$1.90,True,https://a4ucontent.blob.core.windows.net/images/0048130_0.png,$2.50
"Alive Yoghurt <br/>
Mango & Nata de Coco <br/>
<span style= ""color: gray"">2X135G</span>",0,Alive Yoghurt Mango&Ndcc 2X135G,https://allforyou.sg/yoghurt-2,$1.90,True,https://a4ucontent.blob.core.windows.net/images/0018912_0.png,$2.50
"Alive Yoghurt <br/>
Apple & Pomelo <br/>
<small><span style= ""color: gray"">2x135g</span></small>",0,Alive Yoghurt Apple&Pomelo 2X135G,https://allforyou.sg/yoghurt-2,$1.90,True,https://a4ucontent.blob.core.windows.net/images/0048131_0.png,$2.50
"Alive Yoghurt <br/>
Mixed Berry & Aloe Vera <br/>
<small><span style= ""color: gray"">2x135g</span></small>",0,Alive Yoghurt M/Berry&A/V 2X135G,https://allforyou.sg/yoghurt-2,$1.90,False,https://a4ucontent.blob.core.windows.net/images/0048135_0.png,$2.50
"Marigold <br/>
Low Fat Yoghurt Natural <br/>
<span style= ""color: gray"">140G</span>",0,Marigold LF Yoghurt Natural 140G,https://allforyou.sg/yoghurt-2,$1.40,False,https://a4ucontent.blob.core.windows.net/images/0048245_0.png,
